Date,sentiment_score
2022-03-23,0.10383564425300305
2022-03-24,0.08850605781453995
2022-03-25,0.09102843402257464
2022-03-26,0.16371405838751346
2022-03-27,0.097125905557028
2022-03-28,0.12177367975400044
2022-03-29,0.10060677860435142
2022-03-30,0.03021182792547588
2022-03-31,0.11607484546797557
2022-04-01,0.118844744856913
2022-04-02,0.12957518464853177
2022-04-03,0.08727773634023633
2022-04-04,0.1058234592702357
2022-04-05,0.1166320185271078
2022-04-06,0.10098372740299823
2022-04-07,0.13602293395262144
2022-04-08,0.14749326063900753
2022-04-09,0.21260469276094277
2022-04-10,0.1753130633145514
2022-04-11,0.1053051578051578
2022-04-12,0.07863190810863684
2022-04-13,0.08769910852776021
2022-04-14,0.110359058293765
2022-04-15,0.04443074286824287
2022-04-16,0.11174125804750805
